origen,destino,tiempo
tobalaba,cristobal colon,2
cristobal colon,francisco bilbao,2
francisco bilbao,principe de gales,3
principe de gales,simon bolivar,2
simon bolivar,plaza egaña,2
plaza egaña,los orientales,2
los orientales,grecia,2
grecia,los presidentes,2
los presidentes,quilin,2
quilin,las torres,2
las torres,macul,2
macul,vicuña mackenna,3
vicuña mackenna,vicente valdes,2
vicente valdes,rojas magallanes,2
rojas magallanes,trinidad,2
trinidad,san jose de la estrella,2
san jose de la estrella,los quillayes,2
los quillayes,elisa correa,2
elisa correa,hospital sotero del rio,2
hospital sotero del rio,protectora de la infancia,2
protectora de la infancia,las mercedes,2
las mercedes,plaza de puente alto,2
vicuña mackenna,santa julia,3
santa julia,la granja,2
la granja,santa rosa,4
santa rosa,san ramon,2
san ramon,la cisterna,5
plaza de maipu,santiago bueras,2
santiago bueras,del sol,2
del sol,monte tabor,2
monte tabor,las parcelas,2
las parcelas,laguna sur,3
laguna sur,barrancas,2
barrancas,pudahuel,2
pudahuel,san pablo,3
san pablo,lo prado,2
lo prado,blanqueado,2
blanqueado,gruta de lourdes,2
gruta de lourdes,quinta normal,2
quinta normal,cumming,2
cumming,santa ana,2
santa ana,plaza de armas,2
plaza de armas,bellas artes,2
bellas artes,baquedano,3
baquedano,parque bustamante,2
parque bustamante,santa isabel,2
santa isabel,irarrazabal,2
irarrazabal,ñuble,3
ñuble,rodrigo de araya,2
rodrigo de araya,carlos valdovinos,2
carlos valdovinos,camino agricola,2
camino agricola,san joaquin,2
san joaquin,pedrero,2
pedrero,mirador,2
mirador,bellavista de la florida,2
bellavista de la florida,vicente valdes,3
cerrillos,lo valledor,3
lo valledor,pedro aguirre cerda,3
pedro aguirre cerda,franklin,3
franklin,bio bio,2
bio bio,ñuble,4
ñuble,estadio nacional,4
estadio nacional,ñuñoa,2
ñuñoa,ines de suarez,3
ines de suarez,los leones,5
san pablo,neptuno,2
neptuno,pajaritos,2
pajaritos,las rejas,2
las rejas,ecuador,2
ecuador,san alberto hurtado,2
san alberto hurtado,universidad de santiago,2
universidad de santiago,estacion central,2
estacion central,ULA,2
ULA,republica,2
republica,los heroes,2
los heroes,la moneda,2
la moneda,universidad de chile,2
universidad de chile,santa lucia,2
santa lucia,universidad catolica,2
universidad catolica,baquedano,2
baquedano,salvador,2
salvador,manuel montt,2
manuel montt,pedro de valdivia,2
pedro de valdivia,los leones,2
los leones,tobalaba,2
tobalaba,el golf,2
el golf,alcantara,2
alcantara,escuela militar,2
escuela militar,manquehue,2
manquehue,hernando de magallanes,2
hernando de magallanes,los dominicos,3
vespucio norte,zapadores,2
zapadores,dorsal,2
dorsal,einstein,2
einstein,cementerios,2
cementerios,cerro blanco,2
cerro blanco,patronato,2
patronato,puente cal y canto,2
puente cal y canto,santa ana,2
santa ana,los heroes,2
los heroes,toesca,2
toesca,parque ohiggins,2
parque ohiggins,rondizzoni,2
rondizzoni,franklin,2
franklin,el llano,2
el llano,san miguel,2
san miguel,lo vial,2
lo vial,departamental,2
departamental,ciudad del niño,2
ciudad del niño,lo ovalle,2
lo ovalle,el parron,2
el parron,la cisterna,3
la cisterna,el bosque,2
el bosque,observatorio,3
observatorio,copa lo martinez,2
copa lo martinez,hospital el pino,3
plaza quilicura,lo cruzat,2
lo cruzat,ferrocarril,3
ferrocarril,los libertadores,3
los libertadores,cardenal caro,2
cardenal caro,vivaceta,3
vivaceta,conchali,3
conchali,plaza chacabuco,3
plaza chacabuco,hospitales,3
hospitales,puente cal y canto,3
puente cal y canto,plaza de armas,2
plaza de armas,universidad de chile,2
universidad de chile,parque almagro,2
parque almagro,matta,3
matta,irarrazabal,3
irarrazabal,monseñor eyzaguirre,3
monseñor eyzaguirre,ñuñoa,2
ñuñoa,chile españa,2
chile españa,villa frei,3
villa frei,plaza egaña,3
plaza egaña,fernando castillo velasco,3

